Time,Date,Merchant,Gateway,Amount,Status,UTR,TXID
7:30:43 AM,9/26/2024,gennpay,airpay,3000,failed,,429268490
6:31:37 PM,9/26/2024,gennpay,airpay,2000,failed,,429821949
6:32:09 PM,9/26/2024,gennpay,airpay,300,failed,427097149743,429822522
6:33:20 PM,9/26/2024,gennpay,airpay,500,success,744247494618,429823782
6:33:43 PM,9/26/2024,gennpay,airpay,1000,success,740584438534,429824186
6:34:39 PM,9/26/2024,gennpay,airpay,800,success,427023995920,429825093
6:34:53 PM,9/26/2024,gennpay,airpay,500,success,427079479396,429825314
6:35:17 PM,9/26/2024,gennpay,airpay,300,success,463604893928,429825726
6:36:47 PM,9/26/2024,gennpay,airpay,500,failed,427097463418,429827180
6:37:47 PM,9/26/2024,gennpay,airpay,300,success,427027213124,429828295
6:39:22 PM,9/26/2024,gennpay,airpay,500,success,427098869180,429829965
6:41:20 PM,9/26/2024,gennpay,airpay,800,success,427097833294,429831987
6:42:01 PM,9/26/2024,gennpay,airpay,500,success,427053985330,429832656
6:42:38 PM,9/26/2024,gennpay,airpay,300,success,427058404483,429833223
6:43:11 PM,9/26/2024,gennpay,airpay,300,success,272694224153,429833770
6:43:25 PM,9/26/2024,gennpay,airpay,500,success,427038035201,429833984
6:43:26 PM,9/26/2024,gennpay,airpay,300,success,427061740319,429833991
6:44:29 PM,9/26/2024,gennpay,airpay,400,success,427000295099,429834915
6:45:07 PM,9/26/2024,gennpay,airpay,500,failed,427067707100,429835428
6:45:51 PM,9/26/2024,gennpay,airpay,500,failed,,429836156
6:47:10 PM,9/26/2024,gennpay,airpay,300,success,427082204123,429837325
6:47:51 PM,9/26/2024,gennpay,airpay,1000,failed,,429837903
6:48:44 PM,9/26/2024,gennpay,airpay,500,failed,,429838815
6:49:50 PM,9/26/2024,gennpay,airpay,500,success,427065855159,429839999
6:50:00 PM,9/26/2024,gennpay,airpay,300,success,521408149653,429840147
6:52:09 PM,9/26/2024,gennpay,airpay,500,success,427054517826,429842327
6:54:24 PM,9/26/2024,gennpay,airpay,500,success,427045526349,429844789
6:55:35 PM,9/26/2024,gennpay,airpay,500,success,427099045132,429845965
6:55:46 PM,9/26/2024,gennpay,airpay,500,success,427074232690,429846170
6:58:30 PM,9/26/2024,gennpay,airpay,500,success,427099246381,429848937
6:59:15 PM,9/26/2024,gennpay,airpay,500,success,427099329171,429849482
7:00:05 PM,9/26/2024,gennpay,airpay,800,failed,,429850042
7:00:27 PM,9/26/2024,gennpay,airpay,1800,failed,,429850426
7:00:34 PM,9/26/2024,gennpay,airpay,780,success,063686221365,429850519
